y,x1,x2
-1.42,-1.65,-0.67
2.75,1.48,0.7
2.1,0.77,0.32
-5.08,0.67,2.88
1.49,0.68,-0.19
1,0.23,-1.28
0.16,-0.4,-2.72
-1.11,-1.13,-0.7
1.66,0.15,-1.55
-0.26,-0.63,-0.74
-4.87,0.34,-1.87
5.94,0.35,1.56
2.21,0.79,0.37
-6.87,0.77,-2.07
0.9,1.04,1.2
1.61,0.28,0.26
2.11,0.58,-1.34
-3.82,-0.41,-2.1
-0.66,-0.8,1.27
26.14,-1.32,3.32
7.39,-1.03,-4.38
0.79,0.44,3.43
3.03,-0.79,1.51
1.97,-0.79,3.46
-1.53,0.36,0.94
-23.17,2.04,-7.82
3.89,-0.51,-1.55
-1.26,-0.02,1.77
-0.15,0.33,-3.45
3.41,-1.99,-0.88
-5.45,0.7,-1.53
1.43,-0.17,1.42
1.52,0.33,-2.7
2.04,0.48,1.77
3,0.18,-1.89
6.31,0.1,-1.85
-5.51,-0.18,1.87
-1.25,-1.62,-0.72
-2.47,0.39,-0.32
-1.98,0.17,0.84
0.66,1.02,1.7
1.78,0.04,0.19
2.62,0.48,-0.39
-5.16,1.08,-1.36
-4.71,-1.9,1.22
-0.35,0.1,2.01
-0.48,0.2,1.26
1.24,1.15,-2.02
0.69,0.19,1.91
1.91,-0.18,-2.23
